timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,5,50,bb_expand+elliott_impulse_bull+mtf_rsi60+cross_group_bull,260,0.71538462,1.17482000,86,0.50000000,0.83060593,0.39660972,32,0.62500000,1.10489624,0.45254407
d1,10,50,trend_bull+bb_expand+mtf_rsi60+cross_group_bull,335,0.79701493,1.11345108,121,0.71900826,0.97954118,0.63313526,59,0.57627119,0.84367092,0.44934483
d1,10,50,sma_stack_bull+strong_close_bull+mtf_trend_bull+cross_group_bull,241,0.79668050,1.11298387,107,0.67289720,0.91672175,0.57935969,61,0.57377049,0.84000986,0.44895230
d1,3,50,sma_stack_bull+atr_expand+mtf_volatility,238,0.63865546,1.28107461,48,0.68750000,1.42037954,0.54666929,83,0.55421687,1.25690115,0.44725016
d1,3,50,sma_stack_bull+close_near_high+elliott_impulse_bull+cross_group_bull,162,0.62962963,1.26296975,58,0.46551724,0.96176169,0.34332022,38,0.60526316,1.37266836,0.44717868
d1,3,50,ichimoku_cloud_bull+adx25+atr_expand,209,0.66028708,1.32446533,20,0.60000000,1.23960396,0.38658150,44,0.59090909,1.34011496,0.44409754
d1,3,50,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,197,0.65989848,1.32368583,20,0.60000000,1.23960396,0.38658150,44,0.59090909,1.34011496,0.44409754
h4,12,50,dmi_adx_bull+horizontal_break_up+mtf_volatility+cross_group_return_up,362,0.56077348,1.26619022,50,0.42000000,0.98809278,0.29375003,52,0.57692308,1.51326036,0.44194325
d1,3,50,sma_stack_bull+atr_expand,251,0.62549801,1.25468216,49,0.69387755,1.43355560,0.55472106,84,0.54761905,1.24193804,0.44143037
h4,12,50,trend_bull+adx25+retest_up+mtf_volatility,417,0.57793765,1.30494580,65,0.53846154,1.26678561,0.41853399,56,0.57142857,1.49884836,0.44137621
d1,3,50,sma_stack_bull+adx_up3+volatility,297,0.65656566,1.31700054,38,0.73684211,1.52232065,0.57991154,82,0.54878049,1.24457205,0.44130776
d1,10,50,trend_bull+rci_bull+strong_close_bull+cross_group_bull,326,0.79447853,1.10990766,102,0.67647059,0.92158996,0.58071043,62,0.56451613,0.82646131,0.44092988
d1,3,50,sma_stack_bull+adx_up3+volatility+mtf_adx25,242,0.68595041,1.37594323,30,0.76666667,1.58393839,0.59071674,72,0.55555556,1.25993714,0.44087391
d1,5,100,sma_stack_bull+adx25+bb_expand+mtf_volatility,253,0.50197628,1.53132260,59,0.30508475,0.93772365,0.20253632,70,0.55714286,2.02773221,0.44083551
d1,10,100,sma_stack_bull+elliott_wave5_bull+mtf_di_strong_bull+cross_group_bull,187,0.64171123,1.34848277,93,0.41935484,0.86165031,0.32422212,35,0.60000000,1.37445378,0.43572709
d1,10,50,sma_stack_bull+breakout20_up+elliott_wave5_bull+cross_group_bull,168,0.80952381,1.13092632,85,0.65882353,0.89754849,0.55313139,35,0.60000000,0.87841031,0.43572709
d1,10,50,sma_stack_bull+breakout_up20+elliott_wave5_bull+cross_group_bull,168,0.80952381,1.13092632,85,0.65882353,0.89754849,0.55313139,35,0.60000000,0.87841031,0.43572709
d1,10,50,sma_stack_bull+channel_breakout_up+elliott_wave5_bull+cross_group_bull,168,0.80952381,1.13092632,85,0.65882353,0.89754849,0.55313139,35,0.60000000,0.87841031,0.43572709
d1,10,50,sma_stack_bull+retest_up+elliott_wave5_bull+cross_group_bull,168,0.80952381,1.13092632,85,0.65882353,0.89754849,0.55313139,35,0.60000000,0.87841031,0.43572709
