timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,validation,100,150,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,5,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,2,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,1,0.00000000,7258.32947977,0.00000000,0.00000000
h4,oos,50,100,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,9,0.11111111,8766.86496956,0.00001267,0.01989089
h4,oos,100,150,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,2,0.00000000,8737.06716418,0.00000000,0.00000000
h4,oos,150,200,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,sma_stack_bull+atr_expand+horizontal_break_up+cross_group_bull,0,,8875.16666667,,
h4,discovery,50,100,sma_stack_bull+atr_expand+mtf_volatility+cross_group_bull,88,0.46590909,3459.27368120,0.00013468,0.36530468
h4,discovery,100,150,sma_stack_bull+atr_expand+mtf_volatility+cross_group_bull,51,0.41176471,3623.64245524,0.00011363,0.28754395
h4,discovery,150,200,sma_stack_bull+atr_expand+mtf_volatility+cross_group_bull,28,0.07142857,3751.26678899,0.00001904,0.01981206
